ncessch,name,state_code,latitude,longitude,zip_code,city,address,school_type,school_type_text,total_students,total_09,total_10,total_11,total_12,total_white,total_black,total_hispanic,total_asian,total_amerindian,total_nativehawaii,total_tworaces,free_reduced_lunch
A0107590,HEBREW ACADEMY OF LONG BEACH,NY,40.58422,-73.680171,11561,LONG BEACH,530 W BROADWAY,1,Regular elementary or secondary,1585,187,171,172,172,1585,0,0,0,0,0,0,1675
A0107653,LEV BAIS YAAKOV,NY,40.5967,-73.941531,11229,BROOKLYN,3574 NOSTRAND AVE,1,Regular elementary or secondary,526,42,23,35,18,526,0,0,0,0,0,0,0
A0107704,MESVISTA OF LONG BEACH,NY,40.58664,-73.670421,11561,LONG BEACH,205 W BEECH ST,1,Regular elementary or secondary,144,32,36,38,38,144,0,0,0,0,0,0,0
A0107837,RAMAZ UPPER SCHOOL,NY,40.77537,-73.96205,10075,NEW YORK,60 E 78TH ST,1,Regular elementary or secondary,396,101,101,90,104,396,0,0,0,0,0,0,206
A0107866,SAPPO SCHOOL,NY,40.85072,-73.268471,11725,COMMACK,40 KINGS PARK RD STE 100,1,Regular elementary or secondary,67,9,17,11,13,34,1,4,27,0,1,0,0
A0108082,YESHIVA OHR REUVEN,NY,41.14899,-74.101071,10901,SUFFERN,259 GRANDVIEW AVE,1,Regular elementary or secondary,69,20,19,15,15,69,0,0,0,0,0,0,0
A0108089,YESHIVA OHAVEI TORAH OF RIVERDALE,NY,40.89735,-73.907281,10471,BRONX,450 W 250TH ST,1,Regular elementary or secondary,64,16,17,18,13,64,0,0,0,0,0,0,0
A0108105,DAVIDSON DAY SCHOOL,NC,35.5043,-80.860021,28036,DAVIDSON,750 JETTON ST,1,Regular elementary or secondary,484,43,38,44,58,419,38,10,12,4,0,1,0
A0108168,COMMUNITY CHRISTIAN SCHOOL,NC,35.78313,-77.968371,27896,WILSON,5160 PACKHOUSE RD,1,Regular elementary or secondary,237,24,32,24,15,208,21,2,1,0,0,5,0
A0108345,LIBERTY CHRISTIAN ACADEMY,NC,34.97883,-78.987631,28306,FAYETTEVILLE,6548 ROCKFISH RD,1,Regular elementary or secondary,258,23,17,14,12,193,19,18,2,1,1,24,0
A0108423,NORTH ASHEVILLE CHRISTIAN SCHOOL,NC,35.64692,-82.577101,28804,ASHEVILLE,20 REYNOLDS MOUNTAIN BLVD,1,Regular elementary or secondary,106,6,2,12,17,101,3,0,0,0,0,2,0
A0108517,SCOTLAND CHRISTIAN ACADEMY,NC,34.71676,-79.514776,28352,LAURINBURG,10300 MCCOLL RD,1,Regular elementary or secondary,224,20,24,24,27,165,15,4,8,26,0,6,0
A0108578,VERITAS CHRISTIAN ACADEMY,NC,35.43611,-82.499241,28732,FLETCHER,17 CANE CREEK RD,1,Regular elementary or secondary,337,17,28,16,20,304,3,6,13,0,0,11,0
A0108581,VILLAGE CHRISTIAN ACADEMY,NC,35.0497,-78.939871,28303,FAYETTEVILLE,908 S MCPHERSON CHURCH RD,1,Regular elementary or secondary,664,63,56,58,60,446,83,55,32,10,3,35,0
A0108602,BISHOP READY HIGH SCHOOL,OH,39.940003,-83.079649,43204,COLUMBUS,707 SALISBURY RD,1,Regular elementary or secondary,442,75,99,99,119,378,19,16,7,0,4,18,0
A0108605,CENTRAL CHRISTIAN SCHOOL,OH,40.744745,-81.744644,44636,KIDRON,PO BOX 9,1,Regular elementary or secondary,267,25,38,38,29,228,2,10,19,0,0,8,0
A0108629,EMMANUEL CHRISTIAN SCHOOL,OH,41.70552,-83.651071,43623,TOLEDO,4607 W LASKEY RD,1,Regular elementary or secondary,369,25,39,24,30,336,22,3,6,0,0,2,0
A0108633,FAIRFIELD CHRISTIAN ACADEMY,OH,39.73562,-82.620951,43130,LANCASTER,1965 N COLUMBUS ST,1,Regular elementary or secondary,442,32,36,61,28,408,5,2,7,0,0,20,0
A0108643,JOHN F KENNEDY CATHOLIC SCHOOL UPPER CAMPUS,OH,41.21665,-80.785201,44484,WARREN,2550 CENTRAL PARKWAY AVE SE,1,Regular elementary or secondary,324,62,38,59,47,246,52,0,12,0,0,14,99
A0108649,VILLAGE ACADEMY SCHOOLS,OH,40.15269,-83.072861,43065,POWELL,284 S LIBERTY ST,1,Regular elementary or secondary,264,19,23,20,34,187,2,3,50,4,0,18,0
A0108655,MENTOR CHRISTIAN SCHOOL,OH,41.71649,-81.330641,44060,MENTOR,8600 LAKE SHORE BLVD,1,Regular elementary or secondary,120,5,6,7,11,118,0,0,2,0,0,0,0
A0108661,MOSDOS OHR HATORAH - BOYS,OH,41.51877,-81.536921,44121,CLEVELAND HEIGHTS,1508 WARRENSVILLE CENTER RD,1,Regular elementary or secondary,410,9,16,14,15,410,0,0,0,0,0,0,0
A0108673,SALEM WESLEYAN ACADEMY,OH,40.891,-80.867751,44460,SALEM,1095 NEWGARDEN AVE,1,Regular elementary or secondary,79,6,5,11,11,78,1,0,0,0,0,0,0
A0108688,TROY CHRISTIAN HIGH SCHOOL,OH,40.03686,-84.229941,45373,TROY,700 S DORSET RD,1,Regular elementary or secondary,361,69,61,59,56,314,8,3,12,0,0,24,13
A0108698,CROSSINGS CHRISTIAN SCHOOL,OK,35.616331,-97.582084,73134,OKLAHOMA CITY,14400 N PORTLAND AVE,1,Regular elementary or secondary,895,69,61,40,49,772,19,14,41,12,0,37,0
A0108710,PEACE ACADEMY,OK,36.09617,-95.912291,74135,TULSA,4620 S IRVINGTON AVE,1,Regular elementary or secondary,173,20,13,4,12,80,4,6,55,7,0,21,72
A0108743,LIFE CHRISTIAN SCHOOL,OR,45.47968,-122.895561,97007,ALOHA,5585 SW 209TH AVE,1,Regular elementary or secondary,395,22,20,11,15,302,12,14,30,8,20,9,0
A0108758,NORTHWEST ACADEMY,OR,45.51759,-122.685361,97205,PORTLAND,1130 SW MAIN ST,1,Regular elementary or secondary,212,31,32,27,15,171,7,7,13,3,5,6,0
A0108762,VERITAS SCHOOL,OR,45.3080779,-122.975121,97132,NEWBERG,401 MISSION DR,1,Regular elementary or secondary,214,12,13,13,14,78,10,16,104,5,0,1,0
A0108838,COLUMBIA COUNTY CHRISTIAN SCHOOL,PA,41.02194,-76.494321,17815,BLOOMSBURG,123 SCHOOLHOUSE RD,1,Regular elementary or secondary,169,7,10,4,17,162,0,0,2,0,0,5,12
A0108897,INTERNATIONAL CHRISTIAN HIGH SCHOOL,PA,40.0306264,-75.1176315,19120,PHILADELPHIA,413 E TABOR RD,1,Regular elementary or secondary,101,21,21,29,30,6,43,24,25,0,0,3,0
